"rev_id","toxic"
4216,1
8953,1
35367,1
37675,1
139768,1
146770,2
153941,1
195355,1
198261,1
200354,2
218624,1
297866,1
309756,1
315967,1
325217,1
452612,1
482033,1
529575,2
581297,1
597212,2
607274,1
623718,2
655852,1
672149,1
705539,1
790462,1
818559,1
906335,1
988775,2
1004237,1
1079734,1
1111203,1
1229123,1
1238726,2
1245501,1
1286353,2
1308838,1
1311822,1
1314902,1
1325310,2
1334930,1
1347368,1
1382722,1
1519973,1
1588110,1
1595352,1
1613734,1
1614861,1
1696401,1
1703416,1
1735419,1
1746212,1
1806651,1
1851273,1
1896378,1
1934170,1
1985687,1
1988988,1
2036295,1
2047983,1
2092821,1
2097997,1
2187425,2
2254904,1
2321740,1
2408614,1
2416257,1
2457254,1
2457387,1
2531936,1
2532725,1
2568350,1
2595724,1
2653922,1
2660017,1
2681549,1
2747887,1
2791786,1
2796038,1
2803774,1
2876112,1
2947365,1
2954515,1
2955662,1
2976760,1
2977209,1
2982667,1
2988099,2
3094740,1
3109880,1
3123828,1
3139001,1
3186722,1
3192386,1
3194749,1
3350617,1
3512261,1
3531359,1
3542061,1
3561485,1
3633636,1
3685437,1
3736681,1
3788166,1
3897123,1
3911870,1
3948904,1
3955977,1
3980538,1
4003267,1
4006716,1
4031251,1
4054975,1
4066540,1
4116993,1
4130503,1
4170844,1
4248772,1
4248863,1
4282271,2
4285827,1
4317594,1
4334457,1
4373802,1
4375476,1
4425527,1
4457338,1
4458846,1
4569515,2
4608898,1
4639804,1
4642691,1
4661149,2
4712626,1
4713847,1
4801545,1
4820136,1
4868620,1
4869642,1
4920719,1
4965331,1
5158305,1
5174882,1
5200604,1
5247935,1
5263616,1
5290677,1
5293288,1
5304293,1
5374947,1
5387040,1
5447036,1
5455807,1
5498774,1
5553126,1
5615705,1
5623886,1
5625901,1
5647522,1
5687126,1
5763245,1
5815768,1
5825934,1
5861505,2
5896546,2
5901647,1
5928730,1
5997861,1
6121539,1
6228198,1
6235156,1
6288812,1
6306363,1
6338777,1
6507491,1
6522497,1
6633594,1
6659955,1
6763370,2
6785170,1
6810194,2
6817748,1
6826969,1
7005403,1
7009002,1
7042829,1
7107464,1
7147812,1
7196849,1
7209342,1
7278042,1
7319266,1
7422051,1
7424247,1
7461853,1
7503602,1
7516233,1
7533350,2
7559428,1
7572074,1
7594789,1
7689247,1
7708336,1
7727812,1
7786459,1
7786591,2
7792868,1
7794582,1
7824462,1
7842471,1
7869151,1
7917694,1
7944467,1
7983474,1
8010640,1
8078240,1
8098384,2
8111478,1
8146260,1
8164760,1
8200508,1
8233385,1
8239774,1
8287040,1
8300359,1
8347658,1
8355464,2
8384537,1
8424530,1
8426772,1
8436139,1
8531924,1
8571090,1
8635059,1
8652342,1
8708774,1
8712424,1
8725515,2
8737219,1
8746794,1
8760063,1
8763569,1
8771540,1
8809377,2
8836955,1
8875633,1
8898827,1
8899166,2
8914033,2
8960885,1
8978979,1
8992198,2
9005225,1
9013935,1
9057223,1
9073595,1
9103285,1
9148664,1
9180326,1
9186483,1
9220314,1
9225525,1
9245849,1
9252365,1
9260929,2
9317231,1
9369461,1
9388445,1
9396830,1
9401961,1
9410726,1
9442348,1
9492820,1
9495457,1
9508891,1
9521749,1
9534999,1
9546917,1
9664254,2
9702233,1
9723436,1
9752497,1
